borrower_id,cluster_id,annual_revenue,dti_ratio,dscr,dpd_last_6m,repayment_consistency,default
124,2,38.54,0.21,1.48,0,0.65,1
125,1,41.73,0.38,0.92,1,0.49,0
126,2,18.05,0.49,1.99,9,0.82,0
127,0,87.76,0.61,2.14,0,0.78,0
128,2,67.97,0.14,1.35,3,0.44,0
129,1,56.19,0.41,0.95,6,0.92,0
130,0,69.37,0.67,1.34,6,1,0
131,0,5,0.14,0.92,0,0.45,0
132,0,5,0.2,0.87,0,0.62,0
133,3,86.55,0.47,1.86,11,0.59,0
134,1,121.45,0.34,1.75,3,0.84,1
135,0,51.64,0.54,0.39,2,0.48,1
136,1,117.51,0.52,1.6,8,0.67,1
137,3,50.04,0.06,2.27,11,0.25,0
138,1,28.74,0.28,0.76,4,0.73,1
139,2,79.41,0.47,0.84,0,0.6,1
140,2,5,0.23,1.63,10,0.83,0
141,0,32.38,0.54,2.82,1,0.67,0
142,1,25.17,0.27,1.41,0,0.59,1
143,3,14.01,0.32,1.29,15,0.79,1
144,0,35.05,0.59,2.22,0,0.79,1
145,3,58.71,0.61,1.49,29,0.47,0
146,0,89.34,0.71,1.64,8,0.6,0
147,2,81.25,0.28,1.71,0,1,0
148,2,5,0.32,2.2,8,0.54,0
149,2,118.7,0.4,1.2,8,0.8,0
150,2,87.39,0.51,1.9,0,0.9,1
151,1,51.21,0.4,0.43,0,0.77,1
152,0,90.36,0.34,0.76,0,0.98,0
153,1,22.36,0.49,2.24,0,0.67,0
154,0,75.34,0.62,0.3,5,0.78,1
155,0,5,0.27,1.13,9,0.67,0
156,1,40.78,0.59,1.34,2,1,0
157,0,90.93,0.74,0.9,3,0.75,0
158,0,36.25,0.44,2.63,10,0.71,0
159,0,37.57,0.73,2.02,3,0.99,1
160,1,31.88,0.28,1.09,2,0.75,1
161,2,44.08,0.09,0.9,0,0.78,0
162,0,19.65,0.63,1.97,8,0.68,0
163,2,97.46,0.76,1,8,0.97,0
164,1,14.03,0.34,1.92,9,0.75,0
165,0,59.72,0.54,1.71,6,0.64,0
166,0,75.37,0.51,1.12,0,0.72,0
167,1,27.93,0.05,1.45,0,0.66,1
168,0,6.31,0.77,1.51,0,0.88,0
169,1,32.66,0.34,1.74,0,0.71,1
170,2,38.13,0.71,0.3,1,0.8,0
171,3,77.57,0.74,1.67,15,0.86,0
172,2,45.56,0.55,1.32,3,0.52,0
173,2,50.08,0.28,1.57,7,0.42,0
174,2,7.84,0.69,1.47,0,0.84,0
175,1,44.19,0.52,1.54,8,1,0
176,3,93.09,0.31,1.71,18,0.79,1
177,2,82.89,0.27,1.25,0,0.84,0
178,2,34.91,0.22,0.63,0,0.76,0
179,1,74.9,0.2,1.22,3,0.81,0
180,2,45.8,0.37,2.4,3,0.67,0
181,0,65.13,0.37,0.37,1,0.37,0
182,2,41.16,0.23,0.63,0,0.6,0
183,1,21,0.35,1.19,9,0.83,0
184,3,19.47,0.42,0.82,15,0.37,0
185,1,65.81,0.69,2.18,0,0.58,1
186,0,5,0.31,1.43,0,1,0
187,0,81.93,0.57,1.12,0,0.33,1
188,0,42.79,0.49,0.67,2,0.93,0
189,0,30.73,0.59,0.71,3,0.52,1
190,1,79.96,0.38,1.74,8,0.83,1
191,0,5,0.47,1.15,11,0.86,0
192,3,63.86,0.43,0.3,19,0.63,1
193,0,99.22,0.7,1.64,1,0.63,0
194,0,8.85,0.39,1.83,5,0.49,1
195,0,36.36,0.14,0.3,8,0.85,1
196,2,63.58,0.58,0.97,0,0.76,0
197,1,5,0.55,1.86,9,0.7,0
198,3,57.38,0.54,1.47,11,1,0
199,2,130.62,0.45,1.44,0,0.67,0
200,2,59.82,0.81,2.02,0,0.74,1
201,2,58.82,0.48,1.63,0,0.77,0
202,1,13.88,0.6,1.91,2,0.64,0
203,2,89.89,0.51,1.23,0,0.59,1
204,1,5,0.2,2.04,3,0.55,1
205,1,48.9,0.83,1.58,8,0.75,1
206,2,77.47,0.65,1.4,0,0.94,0
207,3,5,0.51,1.54,13,0.71,0
208,0,5,0.32,0.94,0,0.72,0
209,0,5.68,0.78,1.41,0,0.63,1
210,1,91.19,0.16,0.44,7,0.98,0
211,0,30.91,0.4,1.39,5,1,1
212,2,76.9,0.57,1.89,0,0.87,0
213,0,72.06,0.75,1.48,12,0.37,1
214,0,5,0.51,1,1,0.62,0
215,0,38.32,0.38,1.34,6,0.71,1
216,2,43.16,0.28,1.46,0,0.97,0
217,1,65.33,0.47,1.51,7,0.72,1
218,0,56.83,0.43,1.69,0,0.7,0
219,1,48.03,0.3,1.18,0,0.74,0
220,3,84.94,0.67,1.07,11,0.88,1
221,0,84.51,0.43,1.41,3,0.81,0
222,1,6.55,0.37,1.44,12,0.76,1
223,3,36.54,0.32,1.71,16,0.38,0
224,0,50.95,0.31,1.39,2,0.68,0
225,0,52.54,0.67,1.36,1,0.9,0
226,3,66.52,0.65,1.22,12,0.83,1
227,0,61.19,0.63,1.7,7,0.6,0
228,1,67.87,0.56,2.01,0,1,0
229,2,71.39,0.56,1.45,8,0.57,0
230,0,41.51,0.7,0.86,0,1,1
231,1,39.88,0.32,2.01,0,0.49,1
232,1,91.85,0.21,1.54,0,0.98,1
233,2,35.11,0.78,1.86,3,0.6,0
234,2,72.19,0.31,1.63,2,0.83,0
235,1,27.33,0.78,0.87,5,0.45,1
236,0,60.04,0.5,1.52,8,0.68,1
237,2,62.21,0.36,1.76,0,0.6,1
238,2,69.47,0.33,2.06,4,0.64,0
239,1,97.71,0.47,1.93,5,0.72,0
240,0,20.02,0.32,1.15,0,0.64,0
241,2,54.48,0.46,1.57,9,0.62,0
242,2,69.87,0.55,1.68,5,0.83,0
243,1,69.95,0.56,0.42,0,0.5,0
244,0,40.72,0.19,1.32,0,0.74,0
245,1,61.54,0.6,1.71,9,0.75,0
246,3,49.43,0.81,1.15,12,0.58,1
247,1,72.2,0.67,2.04,6,0.67,1
248,0,47.64,0.36,2.09,0,0.83,0
249,1,48.08,0.51,1.53,1,0.83,0
250,2,58.13,0.45,0.71,7,0.54,1
251,3,35.03,0.29,1.38,19,0.72,0
252,0,27.22,0.31,1.54,2,0.9,0
253,1,10.21,0.42,1.92,3,0.86,0
254,0,45.95,0.31,1.47,5,0.42,1
255,3,27.95,0.59,1.54,9,1,0
256,2,41.11,0.35,1.76,0,0.64,1
257,0,87.15,0.31,2,10,0.89,0
258,2,42.06,0.46,1.05,7,0.87,0
259,1,87.73,0.73,2.88,5,1,0
260,3,61.56,0.25,1.04,14,0.83,1
261,0,41.55,0.05,1.98,0,0.81,0
262,2,19.4,0.41,1.66,0,0.91,0
263,3,46.6,0.54,0.55,10,0.57,0
264,2,37.94,0.26,1.3,0,0.89,0
265,3,85.53,0.49,1.57,16,0.73,0
266,0,109.06,0.41,1.44,3,0.87,1
267,0,80.94,0.46,1.84,1,0.52,1
268,3,27.78,0.5,0.3,13,0.42,1
269,3,51.65,0.52,0.41,8,1,1
270,2,43.2,0.31,1.46,10,0.87,0
271,1,32.32,0.71,1.25,5,1,0
272,2,47.27,0.53,1.19,5,0.57,0
273,1,46.03,0.55,1.98,9,0.8,0
274,0,105.1,0.91,1.23,7,0.75,1
275,1,59.87,0.79,1.2,11,0.67,0
276,3,74.78,0.49,2.51,14,0.72,0
277,2,81.45,0.42,0.71,0,0.71,0
278,0,72.66,0.49,1.53,0,0.72,1
279,2,90.95,0.16,1.72,9,0.62,0
280,1,38.85,0.65,1.36,0,0.76,1
281,2,78.79,0.28,1.6,4,0.59,0
282,2,108.86,0.48,1.04,0,0.79,0
283,1,28.37,0.65,1.06,10,0.6,0
284,0,39.81,0.49,1.02,0,1,0
285,1,37.55,0.27,0.94,9,0.57,0
286,0,114.67,0.22,1.57,7,0.91,0
287,1,18.1,0.36,0.63,0,0.85,1
288,2,53.31,0.38,0.68,1,0.75,0
289,0,64.76,0.49,0.44,7,0.76,1
290,3,33.52,0.34,1.16,15,0.87,0
291,3,20.26,0.34,1.84,9,0.77,0
292,1,25.41,0.05,1.04,10,1,0
293,2,42.49,0.68,1.51,9,0.63,1
294,3,33.96,0.28,1.33,11,0.66,0
295,2,93.3,0.68,2.35,0,0.52,1
296,2,34.22,0.7,1.14,0,0.86,0
297,1,33.92,0.54,2.13,0,0.73,0
298,3,61.83,0.74,1.56,16,0.87,0
299,0,58.71,0.42,1.57,0,0.79,0
300,3,5,0.28,1.52,14,0.81,0
301,2,23.92,0.23,2.38,9,0.87,0
302,0,34.84,0.19,2.32,3,0.76,0
303,2,19.66,0.36,1.43,4,0.87,0
304,2,78.87,0.37,1.35,0,0.61,1
305,3,5.13,0.54,0.67,8,0.45,1
306,3,81.53,0.44,1.35,12,0.96,0
307,0,5,0.43,2.35,2,0.54,0
308,3,52.43,0.51,2.01,14,0.73,0
309,2,96.92,0.2,1.55,5,1,0
310,1,32.16,0.62,0.62,5,1,0
311,3,50.7,0.19,1.26,10,0.95,0
312,1,80.83,0.48,0.82,2,0.74,0
313,1,79.98,0.16,1.07,0,0.68,0
314,0,59.07,1,1.15,3,0.65,0
315,3,44.54,0.54,1.69,12,0.78,0
316,0,44.24,0.54,1.95,5,0.95,0
317,1,8.3,0.34,1.64,3,0.99,1
318,0,19.26,0.42,1.62,3,1,0
319,0,51.08,0.42,2.1,3,0.89,0
320,2,58.2,0.3,1.1,0,0.55,0
321,1,127.12,1.01,0.95,0,0.75,1
322,2,73.42,0.17,1.81,0,0.75,0
323,1,39.53,0.39,1.64,10,0.96,1
324,2,65.31,0.56,1.5,0,0.8,0
325,2,5,0.41,0.84,0,0.46,0
326,1,52.53,0.66,2,2,0.66,1
327,2,70.54,0.43,1.74,3,0.8,1
328,3,70.8,0.75,2.25,21,0.41,0
329,3,48.01,0.15,1.09,10,0.92,1
330,0,67.09,0.24,1.82,11,0.8,0
331,0,41.94,0.3,1.28,6,0.9,0
332,1,61.87,0.79,0.8,10,0.52,0
333,0,21.76,0.25,1.01,0,0.37,0
334,0,16.13,0.81,1.52,0,0.62,0
335,3,87.91,0.16,1.03,14,0.76,1
336,2,44.44,0.22,1.14,0,0.62,0
337,0,63.27,0.47,1.78,8,0.41,0
338,0,26.46,0.48,1.9,4,0.74,0
339,1,16.21,0.71,1.07,3,0.5,0
340,0,33.66,0.69,2.51,10,0.86,0
341,2,62.75,0.41,1.87,0,0.81,0
342,2,5,0.39,0.3,0,0.78,0
343,1,56.22,0.44,1.58,1,0.99,1
344,1,70.43,0.41,2.01,0,0.62,0
345,1,23.54,0.62,0.97,0,0.32,0
346,1,57.24,0.35,1.84,2,0.51,1
347,0,54.91,0.67,2.54,0,0.74,0
348,1,23.99,0.57,1.21,3,0.88,0
349,0,45.58,0.5,1.5,0,0.82,0
350,2,49.58,0.22,0.41,0,0.61,0
351,2,23.87,0.05,1.61,0,0.74,0
352,0,39.56,0.37,2.02,4,1,0
353,3,49.3,0.45,2.1,12,0.92,0
354,1,58.61,0.48,0.38,0,0.56,1
355,0,106.69,0.5,2.07,0,0.72,0
356,3,20.95,0.51,1.65,10,0.8,0
357,2,90.6,0.55,1.72,8,0.72,1
358,0,23.08,0.36,1.8,1,0.77,0
359,1,49.92,0.24,1.42,0,0.6,0
360,2,77.58,0.32,1.23,4,0.64,0
361,0,63.21,0.53,2.34,0,0.73,0
362,0,5,0.39,0.56,4,0.92,0
363,0,82.57,0.35,2.2,0,0.65,1
364,1,59.7,0.69,2.12,0,0.61,1
365,3,33.31,0.56,1.04,9,0.6,0
366,2,46.07,0.51,0.39,0,0.73,1
367,0,62.82,0.86,1.39,7,0.66,0
368,3,67.58,0.57,1.46,12,0.7,1
369,3,66.49,0.75,0.81,13,0.73,0
370,0,28.55,0.05,0.3,0,0.73,1
371,0,49.63,0.06,1.13,0,0.69,0
372,1,24.71,0.38,0.53,8,0.45,1
373,0,72.99,0.45,1.22,6,0.67,1
374,2,42.68,0.59,1.28,0,0.7,0
375,1,63.09,0.41,1.58,4,0.45,1
376,3,34.58,0.49,1.32,21,0.71,1
377,2,52.57,0.46,1.94,0,0.52,0
378,0,44.25,0.34,0.74,3,0.87,0
379,2,13.59,0.91,1.59,0,0.97,0
380,3,82.73,0.62,1.32,15,0.88,1
381,2,70.06,0.43,2.01,13,1,0
382,0,11.93,0.4,1.24,8,0.83,0
383,2,25.42,1.19,1.86,2,0.5,1
384,1,32.16,0.3,1.49,9,0.32,1
385,1,89.51,0.39,1.24,6,0.85,0
386,1,76.01,0.54,0.77,3,0.63,0
387,2,56.5,0.18,0.9,0,0.83,1
388,0,5,0.62,1.3,7,0.72,1
389,3,63.7,0.45,1.32,12,0.76,1
390,1,55.07,0.58,1.65,4,0.99,1
391,1,39.65,0.37,2.02,0,0.69,0
392,1,89.65,0.68,2.22,10,0.49,0
393,3,44,0.37,1.61,11,0.62,0
394,0,85.43,0.43,0.65,0,0.88,1
395,3,38.97,0.87,0.97,22,0.74,0
396,3,24.33,0.33,0.91,12,0.61,0
397,0,12.62,0.41,0.48,1,0.74,1
398,0,47.6,0.4,2.48,0,0.81,0
399,1,51.33,0.44,0.46,3,0.6,1
400,1,21.36,0.63,0.73,0,0.65,0
401,2,22.74,0.37,0.99,5,0.43,0
402,0,85.27,0.37,1.88,3,0.83,0
403,2,72.26,0.81,1.77,0,0.97,1
404,2,104.92,0.52,0.53,0,0.67,1
405,2,5,0.42,0.89,0,0.91,0
406,0,101.24,0.61,1.29,0,0.61,0
407,0,26.38,0.54,0.75,1,0.83,1
408,2,10.54,0.41,1.77,0,0.38,0
409,2,57.51,0.69,0.3,0,0.68,0
410,2,5,0.05,1.81,0,0.93,0
411,0,82.5,0.76,1.69,8,0.58,0
412,3,55.16,0.39,1.64,22,0.51,0
413,1,28.89,0.53,1.23,1,0.8,0
414,1,80.06,0.43,2.23,3,0.81,0
415,0,45.93,0.39,0.55,0,0.74,1
416,2,51.06,0.07,0.57,1,0.77,1
417,3,68.82,0.72,2.6,13,0.66,0
418,2,31.08,0.38,1.42,0,0.55,1
419,3,18.34,0.68,1.99,22,0.74,1
420,1,46.09,0.72,0.96,0,0.71,1
421,1,9.45,0.88,1.1,8,0.59,1
422,3,37.09,0.39,2.45,12,0.79,0
423,2,19.96,0.62,1.67,0,0.81,1
424,2,40.64,0.54,1.75,8,0.62,1
425,0,23.09,0.63,1.32,4,1,0
426,2,39.77,0.33,1.01,1,0.73,1
427,2,80.83,0.38,1.92,0,0.52,0
428,1,27.73,0.45,1.18,10,0.71,1
429,0,61.53,0.5,1.2,0,0.83,0
430,2,5,0.4,1.26,4,0.53,0
431,1,40.11,0.27,1.46,1,0.66,1
432,1,25.25,0.24,1.01,0,0.73,0
433,2,51.73,0.63,0.93,0,0.79,0
434,1,33.42,0.67,1.1,5,0.92,0
435,3,75.93,0.79,1.05,27,0.69,1
436,1,39.38,0.38,0.3,0,1,1
437,0,83.75,0.21,2.19,8,0.65,1
438,1,5,0.53,1.52,0,0.74,0
439,0,51.21,0.4,1.07,0,0.56,1
440,3,54.03,0.42,1.97,15,0.69,0
441,1,21.96,0.36,0.57,2,0.88,1
442,2,50.03,0.48,1.69,0,0.69,0
443,2,64.46,0.5,1.31,5,0.75,1
444,1,82.61,0.78,1.25,0,0.99,1
445,1,41.44,0.86,1.15,0,0.87,1
446,3,36.82,0.19,1.91,16,0.84,0
447,1,31.96,0.71,1.25,0,0.44,1
448,3,51.49,0.81,1.41,18,0.72,0
449,1,21.93,0.63,2.29,4,0.77,0
450,3,72.51,0.73,1.49,11,0.65,0
451,1,5,0.71,1.22,3,0.62,0
452,0,48.06,0.44,1.43,1,0.39,0
453,2,8.61,0.47,1.74,0,0.65,0
454,3,48.56,0.51,0.88,23,0.4,0
455,1,74.25,0.46,1.84,5,0.91,0
456,3,55.55,0.82,1.18,13,0.66,1
457,3,31.92,0.66,1.64,8,0.93,0
458,0,71.5,0.39,1.62,7,0.96,0
459,1,5,0.57,1.32,6,0.99,0
460,2,47.98,0.26,1.68,10,0.82,0
461,2,25.04,0.53,1.76,9,0.86,0
462,1,64.83,0.35,0.98,6,0.64,1
463,2,5,0.56,0.97,0,0.76,1
464,2,36.04,0.17,1.89,5,0.67,0
465,1,30.71,0.56,1.62,0,0.85,0
466,3,77.13,0.52,0.93,23,0.95,0
467,3,26.23,0.38,1.51,15,0.66,0
468,2,43.34,0.51,0.84,1,0.76,0
469,2,52.13,0.58,1.42,0,0.65,1
470,3,49.29,0.34,0.73,19,0.63,1
471,0,48.69,0.45,0.45,0,0.79,1
472,3,51.85,0.38,1.39,10,0.78,0
473,3,49.98,0.37,2.4,19,0.57,1
474,0,121.3,0.54,1.26,5,0.97,1
475,0,5,0.39,1.22,2,0.95,0
476,3,26.26,0.39,1.68,13,0.52,0
477,3,48.59,0.4,2.03,17,0.63,1
478,0,83.39,0.41,1.55,3,0.92,0
479,2,78.61,0.34,1.84,0,0.79,1
480,0,81.13,0.39,1.56,0,0.66,0
481,2,48.94,0.45,1.87,0,1,0
482,3,87.23,0.42,1.32,20,1,0
483,0,32.02,0.29,1.99,10,0.67,0
484,3,77.48,0.67,1.67,15,1,0
485,1,55.68,0.22,0.55,7,0.61,1
486,0,56.21,0.31,1.73,0,0.54,0
487,2,10.37,0.75,2.23,5,0.74,0
488,1,5,0.53,1.64,2,0.82,0
489,2,41.28,0.69,1.19,4,0.44,0
490,0,47.21,0.45,2.41,2,0.85,0
491,0,16.36,0.3,1.43,2,0.98,0
492,0,77.77,0.44,1.23,0,0.87,0
493,1,25.3,0.76,1.56,0,0.75,0
494,3,67.27,0.6,1.9,12,1,0
495,2,41.17,0.46,1.18,2,0.9,0
496,2,73.45,0.24,1.4,9,0.84,0
497,1,14.07,0.58,1.87,9,0.64,1
498,1,5,0.24,1.2,0,0.87,1
499,0,66.18,0.3,1.59,10,0.33,1
500,3,75.6,0.11,1.18,13,0.95,1
501,3,59.44,0.43,1.58,12,0.73,0
502,0,23.5,0.24,0.55,0,0.51,0
503,2,70.29,0.17,0.89,4,0.67,0
504,0,67.05,0.77,0.93,0,0.63,0
505,0,15.75,0.45,1.59,0,0.73,1
506,3,63.47,0.35,1.77,17,0.44,0
507,0,54.28,0.51,1.34,8,0.82,0
508,0,53.14,0.44,0.65,0,0.61,0
509,1,8.51,0.49,2.28,7,0.8,0
510,1,74.69,0.6,1.45,1,0.89,1
511,2,33.72,0.97,1.98,9,1,0
512,1,30.56,0.27,2,3,0.68,0
513,2,63.65,0.05,0.73,10,1,0
514,0,43.45,0.35,1.1,0,0.67,0
515,0,6.93,0.58,2.22,0,0.56,0
516,3,95.88,0.48,1.41,13,0.71,1
517,0,56.85,0.24,1.54,4,0.88,0
518,1,49.39,0.55,1.64,7,0.75,0
519,0,49.06,0.19,1.65,8,0.93,0
520,3,50.46,0.43,1.34,19,0.8,0
521,2,52.9,0.38,1.03,0,0.64,1
522,3,84.22,0.29,1.15,11,0.59,0
523,0,97.42,0.35,1.7,7,0.92,0
524,2,41.31,0.59,0.82,6,0.87,0
525,1,70.29,0.48,0.84,1,0.61,1
526,1,68.81,0.28,1.23,2,0.53,0
527,0,70.68,0.29,1.1,9,0.72,0
528,2,88.14,0.28,1.61,6,0.73,0
529,2,75.56,0.19,2.47,0,0.53,0
530,0,62.52,0.91,1.72,4,0.75,1
531,1,30.96,0.05,1.3,0,0.64,0
532,2,59.1,0.47,0.3,3,0.84,1
533,1,18.62,0.18,1.39,10,0.75,1
534,2,63.83,0.35,1.04,4,0.81,1
535,0,59.58,0.64,1.88,2,0.56,0
536,3,7.05,0.59,0.99,12,0.89,1
537,2,35.92,0.37,0.94,0,0.7,0
538,3,27.76,0.4,1.73,16,1,1
539,0,71.09,0.5,1.21,8,0.69,0
540,3,41.18,0.08,1.3,19,0.77,0
541,0,7.31,0.24,1.04,4,0.69,0
542,2,63.38,0.38,1.79,4,0.42,0
543,0,56.2,0.45,0.97,3,1,0
544,3,53.74,0.36,1.56,10,0.61,1
545,2,16.93,0.5,0.53,0,0.53,1
546,0,67.63,0.65,1.04,0,0.94,0
547,1,46.61,0.52,1.73,3,0.79,0
548,0,44.81,0.55,1.72,3,0.58,0
549,2,12.26,0.25,1.18,7,0.91,1
550,3,13.35,0.1,1.7,14,0.6,0
551,3,172.98,0.53,1.56,13,0.34,0
552,0,15.41,0.6,1.56,0,0.7,0
553,1,5,0.58,1.04,1,0.7,1
554,3,38.44,0.47,1.01,12,1,0
555,3,44.29,0.67,1.22,11,0.89,0
556,0,22.49,0.18,1.21,0,0.64,1
557,1,25.35,0.4,1.34,9,0.68,1
558,1,46.44,0.58,1.64,0,0.83,1
559,2,60.93,0.05,1.35,0,0.63,0
560,0,8,0.44,1.27,0,0.56,0
561,2,38.13,0.31,1.48,0,0.61,0
562,1,49.95,0.53,2.45,8,0.81,0
563,0,42.83,0.61,1.24,2,1,0
564,1,29.4,0.59,1.13,10,0.79,1
565,2,19.25,0.42,1.55,9,0.57,1
566,1,101.89,0.32,1.5,0,0.66,0
567,2,5,0.33,1.66,11,0.52,0
568,0,80.76,0.51,1.9,0,0.75,0
569,3,15.72,0.56,0.46,12,0.4,0
570,0,57.21,0.69,2.54,8,1,0
571,0,52.35,0.27,1.68,0,0.7,0
572,2,18.82,0.43,1.7,6,0.74,0
573,2,44.23,0.44,1.41,0,0.6,0
574,3,38.09,0.43,1.21,20,0.9,0
575,0,50.83,0.5,1.62,8,1,0
576,3,88.46,0.49,1.11,14,1,0
577,1,92.69,0.29,1.43,8,0.98,1
578,0,26.98,0.24,0.72,6,0.25,1
579,1,60.37,0.55,0.89,0,0.63,0
580,0,80.56,0.27,2.2,0,0.97,0
581,1,37.01,0.63,1.71,0,0.8,1
582,0,67.99,0.3,1.53,4,0.77,0
583,1,121.41,0.38,0.93,0,1,0
584,0,15.79,0.32,1.99,0,0.61,0
585,0,64.36,0.72,0.73,2,0.71,1
586,1,19.77,0.82,0.8,10,0.67,1
587,0,31.25,0.46,0.96,3,0.29,0
