borrower_id,age,business_type,years_in_operation,region,annual_revenue,ebitda_margin,cashflow_stability,bank_balance_avg,dti_ratio,dscr,loan_amount,tenure_months,interest_rate,past_delinquencies,dpd_last_6m,repayment_consistency,monthly_inflow,monthly_outflow,default
51,38,Services,0,South,39.71,6.65,0.58,2.55,0.33,2.03,15.09,48,18.07,1,5,0.92,1.07,6.5,1
52,31,Retail,0,North,84.29,20.27,0.9,2.45,0.45,1.97,15.09,48,19.01,1,5,0.86,4.77,8.09,0
53,28,Manufacturing,1,South,30.28,12.02,0.43,0.1,0.11,1.74,20.57,12,17.24,0,1,0.9,3.69,11.46,0
54,41,Retail,5,South,62.6,11.59,0.76,0.77,0.46,1.72,4.99,48,17.17,0,8,0.79,1.42,3.29,0
55,45,Healthcare,2,North,64.34,21.98,0.76,4.18,0.35,1.55,2.0,24,16.5,0,7,0.9,1.84,10.91,0
56,44,Retail,0,East,17.75,17.03,0.65,0.77,0.57,2.6,3.51,12,15.26,0,8,0.72,12.58,6.77,1
57,26,Services,4,North,6.6,8.26,0.81,5.9,0.46,1.51,17.35,48,19.08,0,0,0.58,11.06,9.6,1
58,31,Healthcare,5,North,40.31,8.95,0.75,3.89,0.28,1.91,12.47,48,15.19,1,0,0.56,15.17,8.25,1
59,38,Services,3,East,74.17,13.95,0.75,0.87,0.47,1.27,19.89,36,13.79,1,1,0.81,1.18,1.0,0
60,44,Retail,1,South,5.88,13.89,0.61,4.9,0.26,1.05,2.32,36,11.49,1,14,0.82,6.76,3.18,0
61,30,Services,5,South,23.83,11.77,0.64,2.85,0.53,1.06,12.94,24,10.0,0,24,0.75,11.51,4.94,0
62,33,Services,7,South,70.18,7.78,0.84,5.47,0.66,2.21,13.41,60,11.8,1,5,0.55,3.75,12.2,1
63,23,Services,1,East,17.94,8.72,0.55,3.2,0.45,1.32,15.73,36,14.31,0,5,0.62,9.79,3.16,1
64,23,Trading,9,West,80.69,11.86,0.62,4.45,0.52,2.11,3.78,36,12.26,1,17,0.95,17.51,9.35,0
65,43,Healthcare,3,South,129.53,2.49,0.48,4.17,0.18,0.62,18.45,24,15.29,0,14,0.78,7.32,9.99,0
66,48,Healthcare,3,West,25.54,14.99,0.69,2.38,0.2,0.8,16.09,36,16.79,1,0,0.96,12.45,6.2,1
67,34,Healthcare,5,Central,94.18,13.55,1.0,2.45,0.07,1.29,7.97,24,10.0,1,10,0.74,6.04,6.9,0
68,45,Retail,5,South,59.84,6.38,0.77,3.85,0.18,0.41,9.68,24,12.48,1,20,0.56,21.56,3.35,1
69,38,Construction,0,West,26.24,14.91,0.51,3.74,0.48,1.76,17.45,36,14.74,1,0,0.94,14.46,6.88,1
70,28,Retail,4,North,97.78,1.72,0.91,5.48,0.76,1.48,5.01,36,12.23,0,16,0.53,5.54,2.37,1
71,38,Healthcare,6,West,62.2,14.21,0.54,4.6,0.4,0.97,12.75,60,14.42,0,11,0.9,1.0,1.77,1
72,50,Manufacturing,8,West,85.7,17.39,0.84,3.89,0.27,1.74,12.04,24,15.52,0,1,0.5,6.73,12.01,0
73,34,Services,4,East,120.37,14.37,0.69,0.1,0.29,0.47,14.08,24,15.63,0,1,0.84,9.24,14.07,0
74,50,Services,3,West,46.77,15.62,0.77,4.77,0.17,1.18,2.74,12,16.41,1,12,0.67,1.0,12.4,1
75,21,Construction,7,West,66.58,16.0,0.87,3.34,0.5,1.77,6.96,48,17.37,1,10,0.79,17.44,4.77,0
76,43,Manufacturing,10,North,16.54,14.37,0.47,2.06,0.7,0.8,7.24,36,19.5,1,9,0.86,13.45,9.91,0
77,35,Trading,5,South,36.04,11.68,0.65,2.83,0.48,0.87,4.72,48,12.72,0,0,0.68,14.19,9.34,0
78,32,Retail,4,West,47.56,10.08,0.83,0.1,1.01,1.27,13.25,12,12.16,1,12,1.0,9.18,11.06,0
79,35,Trading,8,South,56.35,18.88,0.67,6.0,0.59,2.87,10.54,36,15.19,0,6,0.69,9.53,1.59,0
80,21,Manufacturing,1,North,5.0,15.64,0.61,3.72,0.21,1.72,7.61,48,17.1,2,14,0.85,6.35,8.46,1
81,32,Construction,5,South,96.46,19.11,0.68,6.58,0.48,1.66,10.25,12,12.44,0,11,1.0,10.67,16.14,0
82,38,Manufacturing,12,North,69.02,17.95,0.62,8.07,0.28,0.97,6.88,36,14.39,0,3,0.82,16.06,3.94,0
83,49,Construction,6,North,65.5,4.97,0.64,0.1,0.32,1.53,6.77,36,16.98,2,0,0.73,7.22,9.38,1
84,29,Trading,7,West,111.46,8.0,0.91,1.62,0.43,0.96,11.29,12,12.26,0,11,0.53,6.88,4.49,0
85,26,Trading,4,South,98.63,1.0,0.64,2.49,0.84,1.96,15.66,24,20.98,1,6,0.62,6.34,7.07,0
86,29,Manufacturing,6,West,45.46,2.66,0.9,3.13,0.16,1.66,11.87,36,18.61,0,9,0.77,5.91,3.07,0
87,44,Manufacturing,8,North,32.91,1.17,0.86,1.11,0.4,1.57,2.0,48,13.18,0,0,0.92,8.4,13.29,0
88,38,Services,0,East,68.69,1.0,0.77,5.27,0.35,1.78,3.24,36,17.38,0,10,1.0,4.33,4.91,0
89,29,Construction,4,North,96.55,10.57,0.62,5.77,0.57,2.16,12.67,24,14.75,0,18,0.72,23.06,1.01,1
90,40,Services,6,East,45.54,19.05,0.74,0.1,0.48,1.92,16.75,24,16.01,0,6,0.87,7.11,1.0,0
91,35,Retail,4,South,76.68,14.13,0.71,4.53,0.45,2.56,22.68,48,15.1,0,0,0.96,13.08,5.25,0
92,44,Retail,3,West,101.19,16.17,0.62,0.57,0.55,1.67,5.09,36,12.23,1,2,1.0,4.74,1.43,0
93,27,Manufacturing,9,South,79.65,12.32,0.72,3.7,0.47,1.54,13.22,48,13.77,1,12,1.0,4.43,7.11,0
94,31,Trading,5,West,5.0,12.86,0.63,1.26,0.44,1.69,8.45,36,16.68,0,0,1.0,6.99,8.05,0
95,31,Retail,2,South,14.16,16.66,0.98,4.97,0.21,1.94,7.49,36,18.37,2,8,0.71,4.15,14.14,1
96,21,Retail,7,North,109.49,11.02,0.53,5.14,0.47,0.9,12.82,60,19.06,1,13,0.76,3.34,5.32,0
97,37,Services,9,North,53.29,12.75,0.8,3.19,0.15,1.35,12.12,12,10.95,0,0,0.65,6.83,10.57,0
98,37,Services,8,East,59.9,9.56,0.71,6.09,0.23,0.96,2.0,36,10.0,0,9,0.68,12.14,14.63,1
99,35,Retail,3,South,67.04,4.69,0.81,2.25,0.3,0.59,8.48,60,12.37,0,18,0.88,7.49,13.74,0
100,32,Manufacturing,3,West,92.96,11.23,0.83,4.03,0.4,0.88,10.59,60,15.14,1,0,1.0,1.6,14.7,1
101,21,Services,1,Central,26.51,4.95,0.87,3.94,0.8,0.85,11.55,36,12.66,0,0,0.65,5.55,4.84,1
102,30,Retail,5,South,37.62,17.28,0.64,2.76,0.05,1.61,17.43,24,13.42,1,0,0.75,11.24,6.89,0
103,31,Trading,8,Central,19.84,14.93,0.48,4.36,0.55,1.11,10.32,24,18.05,0,8,0.55,8.8,1.0,0
104,26,Services,6,South,5.0,20.94,1.0,4.63,0.68,2.3,6.28,12,13.7,0,1,0.85,7.65,2.06,0
105,33,Retail,10,East,62.3,7.3,0.65,1.78,0.75,1.22,8.88,60,10.0,0,4,0.98,3.22,2.31,0
106,39,Construction,0,Central,24.03,3.76,0.48,3.66,0.4,0.72,8.95,36,16.99,0,0,0.35,4.74,8.79,1
107,53,Services,5,Central,78.88,2.84,0.75,2.85,0.45,2.02,20.56,24,15.68,0,4,0.55,9.86,9.84,1
108,36,Construction,7,North,31.8,21.45,0.68,3.32,0.61,1.1,13.13,36,19.17,0,4,1.0,10.2,11.14,0
109,37,Services,3,East,9.6,9.62,0.82,6.15,0.33,1.9,13.01,36,12.79,0,0,0.84,8.86,5.7,0
110,34,Services,1,South,81.63,3.0,0.69,0.94,0.14,1.64,8.43,24,13.18,1,15,0.87,3.43,5.94,1
111,21,Healthcare,1,North,65.69,14.82,0.9,5.46,0.82,0.63,2.0,24,15.67,2,20,0.74,1.0,11.08,1
112,34,Healthcare,5,North,45.03,10.0,0.66,2.14,0.17,1.12,3.44,36,16.5,0,6,0.63,1.0,13.45,0
113,35,Construction,1,North,46.72,6.32,0.51,2.16,0.83,1.11,18.43,24,13.64,0,14,0.78,8.09,8.24,1
114,59,Manufacturing,9,West,68.02,20.92,0.79,2.19,0.17,0.83,12.26,12,10.6,1,18,0.64,1.0,6.65,1
115,33,Retail,6,South,101.05,11.15,0.53,2.82,0.43,0.94,31.3,60,14.0,0,5,0.92,7.9,12.61,0
116,38,Manufacturing,4,Central,62.05,15.4,0.72,3.16,0.38,1.2,9.44,12,18.44,0,0,0.7,8.7,1.0,0
117,34,Manufacturing,4,West,64.09,14.6,0.87,1.61,0.3,1.02,11.3,36,12.35,0,2,0.93,1.0,1.28,1
118,23,Healthcare,8,East,36.29,28.3,0.61,0.1,0.51,1.49,17.44,36,13.35,0,0,0.89,1.31,8.06,0
119,46,Retail,9,East,42.91,10.79,0.79,3.86,0.59,0.3,17.58,12,11.59,0,0,1.0,13.21,10.51,1
120,42,Healthcare,2,East,5.0,6.01,0.74,2.41,0.28,1.4,8.76,24,17.05,0,0,0.81,14.81,4.68,0
121,42,Healthcare,2,South,21.7,7.92,0.62,0.81,0.2,1.13,10.27,36,18.04,1,0,0.8,13.87,12.49,0
122,25,Healthcare,3,West,18.05,17.94,0.92,2.63,0.71,1.71,10.41,12,15.38,0,2,0.82,14.15,14.33,1
123,49,Trading,3,North,17.24,13.5,0.79,2.78,0.3,0.9,6.12,24,10.0,0,12,0.93,18.79,7.16,0
124,21,Manufacturing,0,South,38.54,9.18,0.9,7.52,0.21,1.48,14.04,60,15.69,1,0,0.65,10.0,8.03,1
125,40,Manufacturing,2,North,41.73,14.06,0.59,4.18,0.38,0.92,8.15,60,14.88,1,1,0.49,4.26,2.45,0
126,56,Manufacturing,2,West,18.05,19.97,0.72,4.97,0.49,1.99,10.12,24,13.81,0,9,0.82,14.36,2.37,0
127,25,Trading,1,South,87.76,21.96,0.86,3.36,0.61,2.14,18.55,48,20.36,0,0,0.78,1.0,11.9,0
128,29,Services,6,North,67.97,14.21,0.72,3.31,0.14,1.35,3.79,36,14.12,0,3,0.44,4.67,7.94,0
129,35,Construction,4,North,56.19,18.81,0.96,3.65,0.41,0.95,5.82,60,18.64,1,6,0.92,9.67,1.0,0
130,29,Construction,6,South,69.37,3.47,0.62,0.51,0.67,1.34,10.32,36,13.52,0,6,1.0,4.71,1.0,0
131,21,Trading,2,West,5.0,15.73,0.71,2.04,0.14,0.92,16.31,12,13.25,0,0,0.45,8.59,7.13,0
132,35,Manufacturing,6,West,5.0,10.92,0.84,1.73,0.2,0.87,5.31,36,13.76,0,0,0.62,5.98,9.32,0
133,24,Construction,5,Central,86.55,5.11,0.77,1.69,0.47,1.86,4.39,24,21.0,0,11,0.59,7.35,13.17,0
134,39,Trading,3,South,121.45,6.41,0.75,0.56,0.34,1.75,2.0,36,14.83,3,3,0.84,11.05,5.1,1
135,25,Healthcare,9,North,51.64,7.1,0.76,1.67,0.54,0.39,6.68,24,18.95,0,2,0.48,9.19,7.87,1
136,50,Retail,5,North,117.51,13.76,0.42,5.09,0.52,1.6,12.54,24,18.61,2,8,0.67,1.0,3.25,1
137,27,Construction,3,Central,50.04,5.36,0.68,0.1,0.06,2.27,6.91,36,11.66,0,11,0.25,11.35,10.1,0
138,31,Retail,5,North,28.74,16.25,0.75,4.18,0.28,0.76,2.0,12,16.63,2,4,0.73,8.57,11.94,1
139,43,Manufacturing,2,North,79.41,17.78,0.76,7.41,0.47,0.84,13.29,24,11.01,1,0,0.6,13.14,4.11,1
140,22,Construction,4,South,5.0,11.28,0.57,7.32,0.23,1.63,7.18,36,13.94,0,10,0.83,18.78,8.62,0
141,37,Trading,11,South,32.38,10.76,0.75,2.88,0.54,2.82,8.86,12,15.61,0,1,0.67,4.87,12.96,0
142,48,Services,0,South,25.17,12.94,0.77,3.39,0.27,1.41,12.32,24,17.8,1,0,0.59,13.93,11.15,1
143,21,Construction,3,West,14.01,9.04,0.74,6.19,0.32,1.29,11.36,36,12.86,1,15,0.79,10.17,8.9,1
144,36,Construction,4,West,35.05,20.77,0.7,1.32,0.59,2.22,8.36,36,17.66,0,0,0.79,10.11,4.03,1
145,37,Construction,3,North,58.71,1.0,0.57,6.15,0.61,1.49,10.11,24,14.13,2,29,0.47,7.04,5.73,0
146,42,Construction,3,North,89.34,9.68,0.59,2.92,0.71,1.64,19.3,36,15.8,0,8,0.6,2.91,13.06,0
147,22,Trading,10,South,81.25,2.61,0.75,6.39,0.28,1.71,18.65,24,12.65,1,0,1.0,1.0,4.48,0
148,21,Trading,3,West,5.0,15.46,0.39,1.41,0.32,2.2,2.0,12,12.41,0,8,0.54,13.82,11.63,0
149,40,Services,6,East,118.7,13.28,0.87,4.31,0.4,1.2,9.05,60,13.77,0,8,0.8,1.0,7.08,0
150,37,Trading,3,East,87.39,16.52,0.64,5.48,0.51,1.9,2.0,36,14.1,0,0,0.9,8.19,3.78,1
151,37,Trading,6,South,51.21,12.96,0.76,3.16,0.4,0.43,19.68,12,17.22,1,0,0.77,10.95,6.61,1
152,38,Manufacturing,7,West,90.36,14.35,0.88,0.13,0.34,0.76,10.15,48,17.38,0,0,0.98,10.3,4.09,0
153,28,Manufacturing,4,Central,22.36,6.76,0.52,4.92,0.49,2.24,20.84,36,17.7,1,0,0.67,3.1,12.68,0
154,37,Retail,3,West,75.34,12.89,0.77,4.37,0.62,0.3,21.94,36,18.9,0,5,0.78,18.55,10.62,1
155,37,Services,4,North,5.0,7.31,0.66,1.53,0.27,1.13,16.17,48,22.92,0,9,0.67,9.32,4.21,0
156,27,Manufacturing,6,West,40.78,15.67,0.45,3.66,0.59,1.34,9.06,36,14.01,1,2,1.0,8.66,2.68,0
157,53,Services,7,West,90.93,6.31,0.93,3.03,0.74,0.9,11.76,36,14.93,0,3,0.75,1.0,4.56,0
158,39,Services,5,North,36.25,8.91,0.56,1.39,0.44,2.63,16.65,12,13.5,0,10,0.71,9.29,1.0,0
159,23,Construction,4,South,37.57,11.49,0.89,1.05,0.73,2.02,9.8,36,13.84,0,3,0.99,3.3,10.17,1
160,41,Healthcare,8,West,31.88,21.19,0.53,0.1,0.28,1.09,8.56,24,16.41,1,2,0.75,1.0,10.55,1
161,25,Healthcare,3,East,44.08,12.19,0.48,4.61,0.09,0.9,5.55,24,13.36,1,0,0.78,5.25,13.17,0
162,42,Healthcare,3,Central,19.65,24.13,0.52,1.86,0.63,1.97,6.79,36,15.84,0,8,0.68,5.98,17.05,0
163,46,Services,10,South,97.46,20.29,0.54,4.12,0.76,1.0,2.0,12,15.51,0,8,0.97,2.4,8.61,0
164,26,Construction,4,West,14.03,10.18,0.56,5.02,0.34,1.92,13.46,12,14.11,1,9,0.75,8.61,18.16,0
165,44,Retail,6,South,59.72,14.42,0.82,1.34,0.54,1.71,4.78,24,11.77,0,6,0.64,12.25,3.79,0
166,39,Retail,2,Central,75.37,15.33,1.0,2.82,0.51,1.12,14.94,36,11.28,0,0,0.72,11.57,12.41,0
167,43,Healthcare,8,South,27.93,1.0,0.91,0.6,0.05,1.45,11.56,36,19.47,1,0,0.66,10.45,14.31,1
168,53,Retail,1,North,6.31,1.71,0.71,4.71,0.77,1.51,27.69,60,15.84,0,0,0.88,8.37,6.08,0
169,32,Construction,1,South,32.66,14.69,0.66,0.1,0.34,1.74,16.29,12,10.0,1,0,0.71,12.8,4.57,1
170,27,Healthcare,7,West,38.13,15.07,0.66,3.53,0.71,0.3,8.4,24,19.74,0,1,0.8,10.65,8.96,0
171,26,Construction,3,North,77.57,12.91,0.37,2.33,0.74,1.67,18.23,48,18.14,0,15,0.86,6.67,5.77,0
172,26,Retail,4,West,45.56,5.32,0.73,4.69,0.55,1.32,13.19,24,12.95,0,3,0.52,8.37,4.94,0
173,34,Healthcare,6,North,50.08,26.47,0.78,2.86,0.28,1.57,7.71,36,10.32,0,7,0.42,4.56,12.09,0
174,38,Construction,4,North,7.84,15.4,0.56,6.97,0.69,1.47,12.01,36,10.0,0,0,0.84,1.0,1.0,0
175,37,Trading,1,North,44.19,18.12,0.48,2.8,0.52,1.54,2.0,60,15.06,1,8,1.0,4.66,11.14,0
176,43,Trading,3,South,93.09,17.6,0.7,3.31,0.31,1.71,4.75,60,13.56,1,18,0.79,15.43,16.62,1
177,35,Construction,2,South,82.89,12.88,0.84,4.67,0.27,1.25,9.42,36,13.56,0,0,0.84,14.73,6.32,0
178,49,Construction,8,West,34.91,12.51,0.56,3.98,0.22,0.63,13.62,36,17.37,0,0,0.76,6.45,11.86,0
179,32,Manufacturing,8,North,74.9,17.42,0.54,1.43,0.2,1.22,8.68,48,15.22,2,3,0.81,11.43,6.18,0
180,62,Manufacturing,2,South,45.8,8.86,0.61,3.61,0.37,2.4,8.61,36,16.94,0,3,0.67,1.0,5.2,0
181,41,Services,6,West,65.13,17.84,0.77,1.88,0.37,0.37,15.56,24,16.38,0,1,0.37,11.96,6.3,0
182,26,Healthcare,4,South,41.16,13.06,0.59,6.57,0.23,0.63,7.44,12,10.0,0,0,0.6,15.65,6.34,0
183,24,Services,9,West,21.0,15.55,0.93,0.1,0.35,1.19,16.32,36,18.42,1,9,0.83,4.97,9.39,0
184,39,Services,12,Central,19.47,13.07,0.63,5.51,0.42,0.82,14.46,48,11.75,0,15,0.37,7.47,10.54,0
185,32,Retail,7,North,65.81,6.68,0.62,2.88,0.69,2.18,10.16,36,17.39,2,0,0.58,3.81,4.15,1
186,42,Trading,3,West,5.0,10.99,0.71,0.42,0.31,1.43,2.0,36,18.92,0,0,1.0,7.65,4.83,0
187,39,Retail,1,West,81.93,19.33,0.85,0.36,0.57,1.12,11.8,36,17.83,0,0,0.33,17.04,1.55,1
188,34,Healthcare,5,North,42.79,15.87,0.79,3.27,0.49,0.67,14.08,36,20.32,0,2,0.93,2.19,4.8,0
189,26,Construction,4,West,30.73,18.63,0.42,0.63,0.59,0.71,5.34,12,13.03,0,3,0.52,11.38,2.79,1
190,21,Manufacturing,0,North,79.96,17.64,0.78,3.95,0.38,1.74,12.65,36,19.28,1,8,0.83,5.41,1.0,1
191,30,Healthcare,5,South,5.0,8.58,0.85,2.21,0.47,1.15,17.95,24,20.9,0,11,0.86,9.71,6.77,0
192,43,Construction,11,East,63.86,2.64,0.86,3.68,0.43,0.3,18.56,36,18.09,0,19,0.63,1.22,1.57,1
193,37,Healthcare,7,West,99.22,17.08,0.92,0.1,0.7,1.64,14.35,12,13.12,0,1,0.63,3.62,1.1,0
194,22,Construction,1,Central,8.85,10.98,1.0,0.1,0.39,1.83,16.93,48,12.46,1,5,0.49,8.58,3.43,1
195,36,Manufacturing,4,West,36.36,16.14,0.71,0.27,0.14,0.3,15.5,36,13.06,0,8,0.85,6.58,4.93,1
196,38,Construction,6,North,63.58,20.4,0.65,6.36,0.58,0.97,13.68,36,14.34,1,0,0.76,1.26,1.6,0
197,26,Services,6,West,5.0,9.87,0.58,5.39,0.55,1.86,14.78,60,17.24,1,9,0.7,14.97,11.85,0
198,36,Healthcare,0,West,57.38,7.43,0.52,4.41,0.54,1.47,16.6,24,14.5,0,11,1.0,14.64,1.0,0
199,35,Manufacturing,4,West,130.62,5.87,0.63,4.73,0.45,1.44,4.03,24,17.62,0,0,0.67,13.56,6.27,0
200,23,Construction,5,East,59.82,11.87,0.62,3.87,0.81,2.02,8.7,12,17.75,0,0,0.74,3.98,12.06,1
201,38,Services,4,Central,58.82,3.53,0.54,7.54,0.48,1.63,16.96,12,18.68,0,0,0.77,1.0,10.96,0
202,40,Services,0,South,13.88,14.12,0.73,2.31,0.6,1.91,3.67,24,10.0,1,2,0.64,9.08,11.22,0
203,45,Trading,4,North,89.89,14.4,0.69,4.41,0.51,1.23,9.73,36,12.78,0,0,0.59,1.0,7.12,1
204,45,Services,7,West,5.0,14.37,0.71,2.24,0.2,2.04,2.77,48,10.59,1,3,0.55,8.73,8.65,1
205,21,Retail,3,West,48.9,1.86,0.55,3.92,0.83,1.58,8.48,24,18.92,2,8,0.75,9.59,6.84,1
206,25,Manufacturing,3,West,77.47,19.14,0.77,5.85,0.65,1.4,11.69,24,13.29,0,0,0.94,6.87,8.38,0
207,40,Manufacturing,9,North,5.0,12.77,0.6,1.84,0.51,1.54,23.63,36,10.0,1,13,0.71,11.24,4.22,0
208,40,Manufacturing,4,North,5.0,9.3,0.92,0.1,0.32,0.94,16.7,60,16.54,0,0,0.72,15.33,2.84,0
209,40,Construction,5,South,5.68,15.9,0.37,1.96,0.78,1.41,11.68,60,10.89,0,0,0.63,7.89,10.92,1
210,65,Healthcare,0,West,91.19,15.82,0.61,0.1,0.16,0.44,2.0,48,11.42,1,7,0.98,7.16,1.0,0
211,40,Construction,1,South,30.91,5.13,0.77,3.39,0.4,1.39,14.31,12,10.99,0,5,1.0,14.68,8.85,1
212,46,Retail,11,West,76.9,11.7,0.5,2.73,0.57,1.89,8.9,36,12.77,0,0,0.87,13.31,2.83,0
